feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
putA	ResistanceType	TP	-0.119041599946028	0.0438609061032574	0.0533124328709768	0.499308220629105	CPLM	1.01	6	6	0
puuB	ResistanceType	TP	0.25505048373289	0.108674218136247	0.078779395216004	0.499308220629105	CPLM	1.99	6	6	0
puuC	ResistanceType	TP	0.263636187008205	0.0958440711548046	0.0513386461775371	0.499308220629105	CPLM	1.99	6	6	0
puuE	ResistanceType	TP	0.268386553376861	0.117425806738214	0.0842661154064544	0.499308220629105	CPLM	1.99	6	6	0
puuR	ResistanceType	TP	0.121537473686558	0.0526835993485571	0.0823092992001265	0.499308220629105	CPLM	1.99	6	6	0
pyrB	ResistanceType	TP	-0.127407276006089	0.0557648862594902	0.0843462053277915	0.499308220629105	CPLM	1.01	6	6	0
ryhA	ResistanceType	TP	-0.142128808910677	0.0681451582606381	0.105344255712103	0.499308220629105	CPLM	1.01	6	6	0
sdaB	ResistanceType	TP	0.103997725417082	0.0419741552651018	0.068382388173228	0.499308220629105	CPLM	1.99	6	6	0
serW	ResistanceType	TP	-0.093467370086388	0.0441157374609476	0.101492215144525	0.499308220629105	CPLM	1.01	6	6	0
serX	ResistanceType	TP	-0.0944129259576566	0.0437416478359502	0.0970606130071653	0.499308220629105	CPLM	1.01	6	6	0
slyB	ResistanceType	TP	0.140624150699186	0.0647552207025847	0.0956358979941861	0.499308220629105	CPLM	1.99	6	6	0
sra	ResistanceType	TP	0.137470091514942	0.0620208261879938	0.0909641533034575	0.499308220629105	CPLM	1.99	6	6	0
stpA	ResistanceType	TP	-0.183961702327675	0.0681095948585561	0.0540402198455026	0.499308220629105	CPLM	1.01	6	6	0
tatD	ResistanceType	TP	0.168267908731997	0.0805902263364588	0.105074581416672	0.499308220629105	CPLM	1.99	6	6	0
tbpA	ResistanceType	TP	-0.124824141199274	0.0601905599090294	0.106767713063922	0.499308220629105	CPLM	1.01	6	6	0
tdcF	ResistanceType	TP	0.146752911181834	0.0678392699588737	0.0965375747248863	0.499308220629105	CPLM	1.99	6	6	0
tdh	ResistanceType	TP	0.137896185488391	0.0580359020385075	0.0763165803817172	0.499308220629105	CPLM	1.99	6	6	0
thrL	ResistanceType	TP	-0.0528298925398209	0.0221598255660886	0.0756562321364529	0.499308220629105	CPLM	1.01	6	6	0
tus	ResistanceType	TP	0.0722892801549265	0.0335971392751821	0.0978004150667982	0.499308220629105	CPLM	1.99	6	6	0
tyrP	ResistanceType	TP	0.103052156003743	0.0463206165780448	0.0901342764060363	0.499308220629105	CPLM	1.99	6	6	0
yccJ	ResistanceType	TP	0.0622216222905397	0.0257394147126666	0.0729705440981625	0.499308220629105	CPLM	1.99	6	6	0
yceB	ResistanceType	TP	0.0730782039181317	0.0328800149557433	0.0903535072990183	0.499308220629105	CPLM	1.99	6	6	0
ycfS	ResistanceType	TP	0.0776312981960738	0.0300176202917785	0.0609281135338501	0.499308220629105	CPLM	1.99	6	6	0
ycgB	ResistanceType	TP	0.0818622758352778	0.0379605161093066	0.0972687111419304	0.499308220629105	CPLM	1.99	6	6	0
