feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
pheP	ResistanceType	No	0.111466719965975	0.0332676158402982	0.0285527293519673	0.452364810125287	CPLM	1.01	6	6	0
malE	ResistanceType	No	0.249623829966198	0.0752638068928645	0.0294705763046375	0.457927416425906	CPLM	1.01	6	6	0
cspG	ResistanceType	No	-0.137477946637713	0.0433445378625866	0.0338011523863192	0.460467115600244	CPLM	1.99	6	6	0
dadX	ResistanceType	No	-0.112589729122919	0.0353332739007321	0.0333272319557554	0.460467115600244	CPLM	1.99	6	6	0
glgX	ResistanceType	No	0.0721091036066634	0.0229462025089456	0.0347629876876422	0.460467115600244	CPLM	1.01	6	6	0
ilvC	ResistanceType	No	0.122227788627352	0.0380402359136789	0.0324923708127641	0.460467115600244	CPLM	1.01	6	6	0
malK	ResistanceType	No	0.273176107445399	0.0863836253268306	0.0341067339321538	0.460467115600244	CPLM	1.01	6	6	0
ompF	ResistanceType	No	0.339869415540297	0.107395157815668	0.0340314861919868	0.460467115600244	CPLM	1.01	6	6	0
yfcZ	ResistanceType	No	-0.128057605429188	0.0406589246195378	0.0345287203488574	0.460467115600244	CPLM	1.99	6	6	0
yiaB	ResistanceType	No	0.343130534067973	0.108049720870022	0.0336743604609012	0.460467115600244	CPLM	1.01	6	6	0
yjcB	ResistanceType	No	-0.186306919498814	0.0574225299613274	0.0315395961118204	0.460467115600244	CPLM	1.99	6	6	0
glpK	ResistanceType	No	0.07203890420281	0.02329113664158	0.0364688241480568	0.467727141454443	CPLM	1.01	6	6	0
malZ	ResistanceType	No	0.137761438921009	0.0443417382730958	0.0359827970928304	0.467727141454443	CPLM	1.01	6	6	0
can	ResistanceType	No	0.0804710851575262	0.0262316468598512	0.0373763064799468	0.471511120662658	CPLM	1.01	6	6	0
valW	ResistanceType	No	0.141206525037182	0.0462574922631024	0.0379309688651891	0.471511120662658	CPLM	1.01	6	6	0
yifK	ResistanceType	No	0.107045316816239	0.0357453998364883	0.0401529465838289	0.491569406662633	CPLM	1.01	6	6	0
argB	ResistanceType	No	0.105472706194798	0.0377296443903917	0.0490367247969104	0.509268400975017	CPLM	1.01	6	6	0
artJ	ResistanceType	No	0.115018446989317	0.0409297514839305	0.0483099133240525	0.509268400975017	CPLM	1.01	6	6	0
frdD	ResistanceType	No	-0.0849728082394214	0.0289404740273592	0.0425531704508368	0.509268400975017	CPLM	1.99	6	6	0
modF	ResistanceType	No	0.115878046998824	0.0407178249330927	0.046589520741724	0.509268400975017	CPLM	1.01	6	6	0
