"Antibiotic","feature","coef","pval","qval"
"CP","yodC",-0.0758696388607379,0.000112602313826287,0.00699373444912634
"CP","yohF",-0.182027308901161,0.000120581628433213,0.00699373444912634
"CP","ryeE",0.168102423116723,0.000182109150419254,0.00974984374552314
"CP","gntT",0.182117553430525,0.000223059310669481,0.0110892343018542
"CP","chaC",-0.131978633263924,0.000398128156124061,0.0184731464441564
"CP","phnB",-0.27138238297801,0.000432724314447198,0.0188235076784531
"CP","rpoS",-0.118465871839751,0.000480036300459795,0.0196532508894128
"CP","pyrE",0.117095512687204,0.000736993087788014,0.0244260566238313
"CP","rzoR",0.21693100199745,0.000708748817433937,0.0244260566238313
"CP","serX",0.152705048183657,0.000707095993755111,0.0244260566238313
"CPFX","hsdR",-1.12837729628849,8.07042668035611e-09,6.6016090245313e-06
"CPFX","yjiY",-1.17070740512248,1.93269409804141e-07,7.90471886098939e-05
"CPFX","yagG",1.02773205494991,3.29822036784186e-06,0.000899314753631546
"CPFX","yagF",1.2606321368357,8.52641600292883e-06,0.00174365207259895
"CPFX","dapB",0.122067995833341,6.34804182049676e-05,0.0103853964183327
"CPFX","ydbD",0.876686490950321,0.000111067980112907,0.0132992913063122
"CPFX","yjbJ",-0.246238497447915,0.000113808116313185,0.0132992913063122
"CPFX","yeaS",-0.155153753669568,0.000150588585819924,0.0153976829000872
"CPFX","ybaL",-0.143836326678219,0.00028912428957198,0.0262781854299866
"CPFX","yebA",-0.0754707928534712,0.000424737445090199,0.0347435230083783
"CPZ","yjiY",-1.15564097106487,3.48056734613702e-07,0.000331350011352244
"CPZ","hsdR",-1.12876410618179,8.01454919547624e-07,0.000381492541704669
"CPZ","yagG",1.04278056420101,2.88048947161891e-06,0.0009140753256604
"CPZ","ydbD",0.89572091216478,6.06983420839569e-06,0.00144462054159818
"CPZ","yagF",1.32233720524065,8.85532964286857e-06,0.00168605476400218
"CPZ","ivy",-0.0892827797185475,8.25969896352877e-05,0.0131053890221323
"CPZ","putA",0.148656657779995,0.00013018063708561,0.017704566643643
"CPZ","nagE",0.14027615857392,0.000186173100364108,0.0221545989433289
"CPZ","tsx",0.155122987918079,0.000222033779752797,0.0234862398138514
"CPZ","ryeE",0.218535029498778,0.000253667396661462,0.0241491361621712
"CPZ","gcvP",0.12764379357696,0.000381703311954024,0.0330346866345664
"CPZ","yceB",-0.0852527860795076,0.000532754369303244,0.042265179964724
"CPZ","argF",0.226162499493025,0.000649678136926897,0.0475764297195697
"DOXY","hsdR",-1.10296667469863,5.80613564210058e-09,3.0424150764607e-06
"DOXY","yjiY",-1.16007589062826,4.51717388649502e-07,0.00011834995582617
"DOXY","yagG",1.08388148705094,1.6002383330368e-06,0.000279508295503762
"DOXY","yagF",1.28503084781839,2.1761309405448e-05,0.00228058522569095
"DOXY","yifE",0.113946917522907,2.07184254863751e-05,0.00228058522569095
"DOXY","ydbD",0.84322993456206,3.66617127858491e-05,0.00320178958329749
"DOXY","rbbA",0.189459523791263,0.000135851412891533,0.0101694486221662
"DOXY","argF",0.173797100357435,0.000208492351409068,0.0136562490172939
"DOXY","yhiI",0.142253940096218,0.000321086700293035,0.0186943812170611
"DOXY","metN",0.11629810026949,0.000437172806097428,0.0208253227631866
"DOXY","yhhJ",0.186032592370055,0.000398371410393403,0.0208253227631866
"DOXY","ryjA",-0.213789137904217,0.0010892317948944,0.0475631217103889
"DOXY","yaeJ",-0.0926037819143603,0.00119070164653595,0.0479944355988335
"ENX","yagG",1.02109611935148,5.17444316793535e-07,0.000209047503984588
"ENX","yjiY",-1.17205872840388,4.65996066446377e-07,0.000209047503984588
"ENX","hsdR",-1.13164934382585,1.12942052934491e-06,0.000228142946927671
"ENX","yagF",1.25327157151944,9.93349802429592e-07,0.000228142946927671
"ENX","ydbD",0.876012920570207,0.000105530549704888,0.0170537368323099
"ENX","yeeV",0.170034116750347,0.000328961894864795,0.0443002018417924
"NM","hsdR",-1.14929274831147,1.11974618176127e-07,5.56513852335351e-05
"NM","yjiY",-1.21119766377222,3.80369307194908e-07,9.45217728379345e-05
"NM","yagG",0.971016542332271,6.79623498644182e-07,0.000112590959608719
"NM","yagF",1.18718756275351,6.61889649456267e-06,0.000822397889449411
"NM","rcsA",0.205208125139343,5.30369994721946e-05,0.00527187774753615
"NM","argI",0.19464671233168,8.45978356312861e-05,0.00700752071812486
"NM","ydbD",0.895302165700063,0.000118285238598544,0.00734847044793456
"NM","yhfZ",0.103971165548702,0.000108695279858728,0.00734847044793456
"NM","rpoS",-0.0847122676696066,0.000519352360894393,0.0286797914849459
"NM","lipA",-0.143437991243046,0.000717805553220756,0.0344532411787458
"NM","yiaB",0.587998318902535,0.000762546585445078,0.0344532411787458
"NM","yghA",0.110452383354536,0.00084722276190889,0.0350891427223932
"NM","ugd",0.468605570831515,0.00107844855508509,0.0412299178367144
"NM","yjbH",0.395027889424506,0.00124435609628305,0.0441746414180484
