ID_REF	Parent strain_rep1	Parent strain_rep2	Cefoperazone (CPZ) resistant strain_Line1	Cefoperazone (CPZ) resistant strain_Line2	Cefoperazone (CPZ) resistant strain_Line3	Cefoperazone (CPZ) resistant strain_Line4	Cefixime (CFIX) resistant strain_Line1	Cefixime (CFIX) resistant strain_Line2	Cefixime (CFIX) resistant strain_Line3	Cefixime (CFIX) resistant strain_Line4	Amikacin (AMK) resistant strain_Line1	Amikacin (AMK) resistant strain_Line2	Amikacin (AMK) resistant strain_Line3	Amikacin (AMK) resistant strain_Line4	Neomycin (NM) resistant strain_Line1	Neomycin (NM) resistant strain_Line2	Neomycin (NM) resistant strain_Line3	Neomycin (NM) resistant strain_Line4	Doxycycline (DOXY) resistant strain_Line1	Doxycycline (DOXY) resistant strain_Line2	Doxycycline (DOXY) resistant strain_Line3	Doxycycline (DOXY) resistant strain_Line4	Chloramphenicol (CP) resistant strain_Line1	Chloramphenicol (CP) resistant strain_Line2	Chloramphenicol (CP) resistant strain_Line3	Chloramphenicol (CP) resistant strain_Line4	Azithromycin (AZM) resistant strain_Line1	Azithromycin (AZM) resistant strain_Line2	Azithromycin (AZM) resistant strain_Line3	Azithromycin (AZM) resistant strain_Line4	Trimethoprim (TP) resistant strain_Line1	Trimethoprim (TP) resistant strain_Line2	Trimethoprim (TP) resistant strain_Line3	Trimethoprim (TP) resistant strain_Line4	Enoxacin (ENX) resistant strain_Line1	Enoxacin (ENX) resistant strain_Line2	Enoxacin (ENX) resistant strain_Line3	Enoxacin (ENX) resistant strain_Line4	Ciprofloxacin (CPFX) resistant strain_Line1	Ciprofloxacin (CPFX) resistant strain_Line2	Ciprofloxacin (CPFX) resistant strain_Line3	Ciprofloxacin (CPFX) resistant strain_Line4
ybdL	300.9730905	280.2223369	112.6584489	136.2322026	125.068146	228.6641524	237.9078595	318.6007571	175.9247836	211.2350745	139.2399329	180.3058714	142.0339219	238.2725524	321.2782786	97.00642976	221.4381643	41.12293036	226.0377762	166.5940433	180.9843161	149.0632938	103.45907	160.7458498	123.4349787	197.5950929	303.6366655	311.1657631	277.2672702	188.6685869	233.0717429	229.0191893	533.411644	148.1697037	182.2042131	291.0177429	239.6202798	244.9532036	194.8013298	211.2350745	138.9766356	134.1898164
ybdM	260.0295452	209.6610076	193.8578905	310.6603952	157.0371967	218.8072906	163.9230474	222.2212739	160.1263965	173.2189455	213.4796125	222.5798945	231.2694304	250.5020662	250.5020662	265.5154714	163.4848155	159.8360489	236.3929477	230.792619	252.2966012	183.1538262	234.1206064	210.9212882	266.9163027	302.0661726	302.7528064	289.1013649	234.553407	254.2389856	250.020883	211.2350745	244.5607199	196.3519023	233.3734357	180.6716714	261.8307714	222.5798945	323.6966024	276.8052136	206.9280607	215.2208319
ybdN	55.23297655	48.29391631	64.98986357	86.41205369	49.54837417	65.9196594	75.88023714	74.2441444	54.52269595	57.50565786	48.99613476	58.22301548	54.68283595	65.55483726	69.25537381	64.23279405	57.28092488	57.28092488	97.20056417	71.33826952	82.46399643	73.52709226	51.257365	58.87121857	69.0129556	60.56456881	70.50907679	75.43220929	67.60926595	58.57854571	54.68283595	75.88023714	74.38982726	69.0129556	60.1379584	43.77155464	56.32578702	64.43387226	63.5694444	61.99582631	76.25797143	53.29110001
ybdO	37.08082536	43.32167429	37.69109952	43.64705393	31.66768179	173.2189455	35.63983405	49.54837417	38.92590536	33.21662774	33.69775745	27.13856277	27.04119988	19.59791635	26.34701881	24.87351549	28.1995578	25.73525762	36.20839952	49.81343512	34.98842548	41.5975406	113.8933023	36.55757155	56.94954107	139.4649563	34.13417917	51.66670881	45.17668333	40.19369071	38.31256131	32.79905202	34.35049587	41.18470071	25.51151346	19.26956361	32.60813381	42.41969381	41.39712548	61.64806869	37.36482095	23.95423607
ybdR	216.4216667	208.6135333	913.3934488	2464.820524	501.4195643	388.2777869	514.234581	489.6225321	456.7724024	1209.12176	162.5507611	178.7369751	251.4851417	167.2675024	213.4796125	168.4385787	190.4551207	266.4898048	3301.701976	317.4694357	352.0302845	393.3899952	1223.46592	2253.031238	182.9189202	985.1315536	165.294616	235.5163536	352.0302845	176.8747917	228.6641524	194.4877036	246.2946464	2154.327893	1613.776318	197.1476179	426.6064583	192.8780167	273.3373905	274.2909012	354.3991536	202.3638988
ybdZ	23.82411431	19.64764431	27.94948799	84.00474	300.4075845	190.1044679	44.38396095	10.04909901	233.3734357	20.71561506	84.83401798	65.1092069	50.29355131	9.177218036	11.79631285	12.41654708	55.85040071	8.316362405	16.2589117	8.962020024	16.93754908	14.23506487	13.07052775	35.95546893	6.675095976	36.62268024	23.1975806	9.742218679	59.94191583	24.23315857	16.428928	10.74506235	59.33418345	6.287647595	89.04243179	20.36579813	29.59898881	23.90414675	37.56924821	19.05003785	13.1146764	43.70489619
ybeA	1524.091101	1524.091101	1121.203461	878.5958702	1027.41591	1530.551729	1141.645649	1091.777708	1471.164237	1220.374465	884.8851619	1257.552817	1032.849752	1223.46592	1098.529558	1089.12097	1573.289092	1434.811649	808.1075929	1356.481025	1189.46823	1799.006395	1727.730536	1303.570604	1547.492401	1359.836771	1364.489688	1143.209142	1199.189336	1380.513035	1417.465655	1244.766108	1462.593629	1124.514923	983.6844905	1765.767152	1156.218061	1165.684746	1356.481025	1089.12097	1098.529558	1487.021102
ybeB	2758.212083	2724.306452	1965.717	1456.51534	1601.63589	2346.598548	1687.464789	1979.794536	2209.934583	1996.9295	1580.357758	1682.994702	1610.055438	1741.76389	1755.76919	1771.99975	2584.067786	2201.231345	1449.135519	1786.728012	2021.975893	2485.55331	2785.323762	2229.296774	2544.993667	2223.458583	2259.877595	1835.48306	2051.88494	2236.854702	2240.531833	2259.877595	2567.930155	1953.877595	1656.655929	2984.795583	1915.828893	1939.801976	1912.893583	1649.436845	1651.197679	2100.213798
ybeD	1659.038595	1707.616679	2122.411167	1727.730536	1286.858123	1784.292845	1830.810702	6232.43094	1311.777826	1939.801976	1668.949017	1269.224083	1467.409179	1199.189336	2236.854702	1729.825999	2353.079202	2150.153917	1977.811071	1515.466718	2032.692071	1678.617669	2032.692071	1838.460321	3437.408393	2213.435655	1549.252688	2249.877976	1760.635712	1805.664262	3409.178155	1799.006395	1910.927952	2223.458583	1488.65201	1229.319344	1278.50786	2588.921119	2559.20819	1491.004732	1949.227833	1315.200506
ybeF	80.15566774	84.00474	68.2612544	62.48289929	70.7422919	83.24756857	68.12456548	94.23443179	63.81422476	58.96561619	74.38982726	66.79033321	63.30134786	65.46464702	83.24756857	76.69515167	69.36101131	65.78526548	58.67583917	83.82350583	68.2612544	73.12559143	60.56456881	66.14154405	82.46399643	63.81422476	95.90019095	73.78666655	69.92016155	92.79007405	79.1132769	91.2703275	93.36207107	66.0250044	51.42326952	92.29765135	89.39530774	77.73628167	92.52139857	74.5272831	73.6464244	99.77917583
ybeH	155.6667732	135.039045	208.0092845	468.0913762	139.2399329	161.0984521	187.2372476	191.7352274	132.7928486	188.4270988	140.328329	151.6330912	139.2399329	243.7193464	185.4125796	150.4663745	190.1044679	143.2164082	228.6641524	188.6685869	269.3645762	187.5723262	187.5723262	221.4381643	186.5108726	163.4848155	139.8020086	184.8430774	210.4800405	182.2042131	177.2305274	242.8525357	143.4967358	500.7554893	227.8696595	132.5073768	140.0822605	188.6685869	100.4488138	142.6096756	144.1125658	103.0111367
ybeL	841.4049393	826.0889238	2318.325869	5215.00244	1530.551729	905.4507929	2395.055298	1350.783017	729.7031321	1753.438607	1259.220595	2406.38431	1393.499071	955.9662524	1807.696905	1249.650399	2232.377143	1592.106486	3906.633643	1378.849501	2419.300857	1545.615888	1665.1465	1907.70694	1473.578101	1555.848004	1478.070468	2285.089179	1495.38629	1153.156536	1257.552817	1011.620615	937.6273	2078.295929	5803.025952	1073.077024	2666.19706	1175.237277	1246.266221	1051.211685	3824.934583	1545.615888
